schema_version,id,family_id,name,category,object_type,rarity,tier,biome,faction_affinity,state,composition,material_class,crafting_roles,compatible_disciplines,durability_class,weight_class,function,mechanical_hook,trade_use,quest_use,visual_identity,drawback,salvage_outputs,tags,base_value,scarcity_multiplier,suggested_value,stack_limit,tone,short_description,table_description,effect,value,weight,source_table
"2.0.0","pitm-0094","itm-fam-044","Mossbound Spindle","crafting","workshop-tool","epic","5","forest","green-road wardens","finished","wood|resin-treated wood","wood","none","tailoring","working","light","Controls fiber tension during thread production. It uses muted finishes and snag-resistant edges for quiet field use and transport through dense growth.","Maintaining its axis and tension produces repeatable thread suitable for later binding, repair, or fabrication; in forest, it uses muted finishes and snag-resistant edges for quiet field use and transport through dense growth. For this textile spindle, tier 5: can turn complete preparation into a decisive result; the regional constraint still governs the result.","For this textile spindle, wardens and caravan scouts value intact examples; it controls fiber tension during thread production. Inspect shaft straightness, whorl balance, hook wear, surface drag, and consistency of a short test winding; museum-grade documentation and uncompromised construction; a resin-treated wood match supports a 70-unit guide price.","Textile spindle clue: its resin stamp can trace an object to a protected woodland route. Check shaft straightness, whorl balance, hook wear, surface drag, and consistency of a short test winding, then compare against green-road wardens' resin-treated wood standard; corroborate the claimed route only when construction and handling marks align.","Textile spindle with oiled wood, moss-green wrapping, and resin-dark seams.","A bent shaft introduces a repeating weakness through the entire length of finished thread; in forest, heat softens the resin that secures its wrapped or fitted parts. At tier 5, this textile spindle can convert a successful operation into a major liability when green-road wardens rely on it.","turned wood|spindle fitting","crafting|workshop-tool|epic|tier-5|forest|green-road-wardens|finished|practical|wood","28","2.5","70","1","practical","Mossbound Spindle is rated epic and belongs to the textile spindle class associated with green-road wardens for forest use.","Textile spindle with oiled wood, moss-green wrapping, and resin-dark seams. Controls fiber tension during thread production. It uses muted finishes and snag-resistant edges for quiet field use and transport through dense growth.","Maintaining its axis and tension produces repeatable thread suitable for later binding, repair, or fabrication; in forest, it uses muted finishes and snag-resistant edges for quiet field use and transport through dense growth. For this textile spindle, tier 5: can turn complete preparation into a decisive result; the regional constraint still governs the result.","70","0.5","premium-table-02"
"2.0.0","pitm-0054","itm-fam-004","Mossbound Bell","trinket","personal-object","epic","5","forest","green-road wardens","finished","metal|resin-treated wood","metal","focus","enchanting","delicate","tiny","Carries coded sound through poor visibility. Its resin stamp and green-road markings can be read without exposing a reflective surface.","Selecting and sounding a known cadence can warn, assemble, or redirect listeners when sight lines are poor; in forest, its resin stamp and green-road markings can be read without exposing a reflective surface. For this signal bell, tier 5: can turn complete preparation into a decisive result; the regional constraint still governs the result.","For this signal bell, wardens and caravan scouts value intact examples; it carries coded sound through poor visibility. Inspect clapper clearance, suspension wear, rim cracks, and whether the tone still matches its recorded signal; museum-grade documentation and uncompromised construction; a resin-treated wood match supports a 70-unit guide price.","Signal bell clue: its resin stamp can trace an object to a protected woodland route. Check clapper clearance, suspension wear, rim cracks, and whether the tone still matches its recorded signal, then compare against green-road wardens' resin-treated wood standard; a mismatch suggests deliberate substitution; a match strengthens the origin claim.","Signal bell with oiled wood, moss-green wrapping, and resin-dark seams.","A changed tone can transmit the wrong instruction or reveal that a supposedly authentic bell has been altered; in forest, smoke and heat can blur the resin mark that establishes its origin. Signal bell consequence at tier 5: A fault can convert a successful operation into a major liability when green-road wardens rely on it.","small fitting","trinket|personal-object|epic|tier-5|forest|green-road-wardens|finished|practical|metal|focus","28","2.5","70","3","practical","Mossbound Bell is rated epic and belongs to the signal bell class associated with green-road wardens for forest use.","Signal bell with oiled wood, moss-green wrapping, and resin-dark seams. Carries coded sound through poor visibility. Its resin stamp and green-road markings can be read without exposing a reflective surface.","Selecting and sounding a known cadence can warn, assemble, or redirect listeners when sight lines are poor; in forest, its resin stamp and green-road markings can be read without exposing a reflective surface. For this signal bell, tier 5: can turn complete preparation into a decisive result; the regional constraint still governs the result.","70","0.1","premium-table-02"
"2.0.0","pitm-0144","itm-fam-044","Cairnforged Spindle","crafting","workshop-tool","common","1","highland","stone-banner clans","finished","wood|slate-tempered iron","wood","none","tailoring","working","light","Controls fiber tension during thread production. Its reinforced alignment tolerates vibration, hard impacts, and steep travel.","Maintaining its axis and tension produces repeatable thread suitable for later binding, repair, or fabrication; in highland, its reinforced alignment tolerates vibration, hard impacts, and steep travel. For this textile spindle, tier 1: handles one expected obstacle; the item cannot replace situational judgment.","For this textile spindle, clan factors buy pieces with an unbroken maker mark; it controls fiber tension during thread production. Inspect shaft straightness, whorl balance, hook wear, surface drag, and consistency of a short test winding; sound working condition; a slate-tempered iron match supports a 20-unit guide price.","Textile spindle clue: its knot motif records a bearer, oath, or mountain passage. Check shaft straightness, whorl balance, hook wear, surface drag, and consistency of a short test winding, then compare against stone-banner clans' slate-tempered iron standard; matching wear supports the account, while fresh work points to a planted lead.","Textile spindle with hammered iron, slate inlay, and climbing-knot motifs.","A bent shaft introduces a repeating weakness through the entire length of finished thread; in highland, the reinforcement adds weight that becomes costly on long climbs. For this textile spindle, tier 1 failure can be isolated before it affects the wider task; Stone-banner clans encounter the fault in use.","turned wood|spindle fitting","crafting|workshop-tool|common|tier-1|highland|stone-banner-clans|finished|ceremonial|wood","20","1","20","1","ceremonial","Cairnforged Spindle is rated common and belongs to the textile spindle class associated with stone-banner clans for highland use.","Textile spindle with hammered iron, slate inlay, and climbing-knot motifs. Controls fiber tension during thread production. Its reinforced alignment tolerates vibration, hard impacts, and steep travel.","Maintaining its axis and tension produces repeatable thread suitable for later binding, repair, or fabrication; in highland, its reinforced alignment tolerates vibration, hard impacts, and steep travel. For this textile spindle, tier 1: handles one expected obstacle; the item cannot replace situational judgment.","20","0.5","premium-table-03"
"2.0.0","pitm-0114","itm-fam-014","Cairnforged Compass","tool","field-tool","common","1","highland","stone-banner clans","finished","mechanical|slate-tempered iron","mechanical","none","smithing|woodcraft|survival|artifice","working","light","Establishes bearing under regional interference. Its reinforced alignment tolerates vibration, hard impacts, and steep travel.","Comparing its bearing before and after regional interference can reveal drift, hidden influence, or a safer heading; in highland, its reinforced alignment tolerates vibration, hard impacts, and steep travel. For this directional instrument, tier 1: handles one expected obstacle; the item cannot replace situational judgment.","For this directional instrument, clan factors buy pieces with an unbroken maker mark; it establishes bearing under regional interference. Inspect needle freedom, housing level, reference marks, and deviation against a known local bearing; sound working condition; a slate-tempered iron match supports a 42-unit guide price.","Directional instrument clue: its knot motif records a bearer, oath, or mountain passage. Check needle freedom, housing level, reference marks, and deviation against a known local bearing, then compare against stone-banner clans' slate-tempered iron standard; agreement across fittings and wear makes the lead credible; one modern repair does not.","Directional instrument with hammered iron, slate inlay, and climbing-knot motifs.","A sticky pivot can produce a convincing but consistently false route; in highland, the reinforcement adds weight that becomes costly on long climbs. Directional instrument consequence at tier 1: A fault can be isolated before it affects the wider task when stone-banner clans rely on it.","tool component|binding material","tool|field-tool|common|tier-1|highland|stone-banner-clans|finished|ceremonial|mechanical","42","1","42","1","ceremonial","Cairnforged Compass is rated common and belongs to the directional instrument class associated with stone-banner clans for highland use.","Directional instrument with hammered iron, slate inlay, and climbing-knot motifs. Establishes bearing under regional interference. Its reinforced alignment tolerates vibration, hard impacts, and steep travel.","Comparing its bearing before and after regional interference can reveal drift, hidden influence, or a safer heading; in highland, its reinforced alignment tolerates vibration, hard impacts, and steep travel. For this directional instrument, tier 1: handles one expected obstacle; the item cannot replace situational judgment.","42","0.5","premium-table-03"
"2.0.0","pitm-0135","itm-fam-035","Cairnforged Pipe","trade","personal-trade-good","uncommon","2","highland","stone-banner clans","finished","ceramic|slate-tempered iron","ceramic","none","","stable","medium","Serves as a compact trade and social object. It is braced for pack travel and marked for exchange at clan-controlled passes.","Preparing and sharing it under local custom can open a social exchange or transmit a coded signal; in highland, it is braced for pack travel and marked for exchange at clan-controlled passes. For this refined smoking or signal pipe, tier 2: converts one unknown into a visible compromise; active danger still needs a separate answer.","For this refined smoking or signal pipe, clan factors buy pieces with an unbroken maker mark; it serves as a compact trade and social object. Inspect bowl cracks, stem fit, residue layers, maker marks, and repairs that alter airflow; a complete specialist configuration; a slate-tempered iron match supports a 24-unit guide price.","Refined smoking or signal pipe clue: its knot motif records a bearer, oath, or mountain passage. Check bowl cracks, stem fit, residue layers, maker marks, and repairs that alter airflow, then compare against stone-banner clans' slate-tempered iron standard; use the oldest intact surface to decide whether the claim is genuine.","Refined smoking or signal pipe with hammered iron, slate inlay, and climbing-knot motifs.","Foreign residue or a substituted stem can turn a familiar ritual into evidence of deception; in highland, its specialized packing adds cost in lowland markets. For this refined smoking or signal pipe, tier 2 failure forces a choice between repair and delay; Stone-banner clans encounter the fault in use.","packing material","trade|personal-trade-good|uncommon|tier-2|highland|stone-banner-clans|finished|ceremonial|ceramic","20","1.2","24","4","ceremonial","Cairnforged Pipe is rated uncommon and belongs to the refined smoking or signal pipe class associated with stone-banner clans for highland use.","Refined smoking or signal pipe with hammered iron, slate inlay, and climbing-knot motifs. Serves as a compact trade and social object. It is braced for pack travel and marked for exchange at clan-controlled passes.","Preparing and sharing it under local custom can open a social exchange or transmit a coded signal; in highland, it is braced for pack travel and marked for exchange at clan-controlled passes. For this refined smoking or signal pipe, tier 2: converts one unknown into a visible compromise; active danger still needs a separate answer.","24","1.5","premium-table-03"
"2.0.0","pitm-0130","itm-fam-030","Cairnforged Mask","wearable","wearable","uncommon","2","highland","stone-banner clans","finished","mixed|slate-tempered iron","mixed","none","tailoring|smithing","working","light","Conceals identity or filters a specific hazard. Its load-bearing seams and close fit remain secure in strong wind and broken terrain.","Fitting it before exposure can conceal identity or filter one anticipated hazard, but not both equally; in highland, its load-bearing seams and close fit remain secure in strong wind and broken terrain. For this identity or filter mask, tier 2: converts one unknown into a visible compromise; unexpected opposition requires another plan.","For this identity or filter mask, clan factors buy pieces with an unbroken maker mark; it conceals identity or filters a specific hazard. Inspect seal fit, strap elasticity, filter condition, interior residue, and sight-line alignment; a complete specialist configuration; a slate-tempered iron match supports a 41-unit guide price.","Identity or filter mask clue: its knot motif records a bearer, oath, or mountain passage. Check seal fit, strap elasticity, filter condition, interior residue, and sight-line alignment, then compare against stone-banner clans' slate-tempered iron standard; a consistent build links the clue to its source; mixed methods indicate tampering.","Identity or filter mask with hammered iron, slate inlay, and climbing-knot motifs.","A poor seal can preserve the appearance of protection while admitting the hazard at the edges; in highland, the reinforced fit restricts movement if sized incorrectly. Identity or filter mask consequence at tier 2: A fault forces a choice between repair and delay when stone-banner clans rely on it.","fastener|fabric or hide","wearable|uncommon|tier-2|highland|stone-banner-clans|finished|ceremonial|mixed","34","1.2","41","1","ceremonial","Cairnforged Mask is rated uncommon and belongs to the identity or filter mask class associated with stone-banner clans for highland use.","Identity or filter mask with hammered iron, slate inlay, and climbing-knot motifs. Conceals identity or filters a specific hazard. Its load-bearing seams and close fit remain secure in strong wind and broken terrain.","Fitting it before exposure can conceal identity or filter one anticipated hazard, but not both equally; in highland, its load-bearing seams and close fit remain secure in strong wind and broken terrain. For this identity or filter mask, tier 2: converts one unknown into a visible compromise; unexpected opposition requires another plan.","41","0.5","premium-table-03"
"2.0.0","pitm-0106","itm-fam-006","Cairnforged Bone","material","raw-material","rare","3","highland","stone-banner clans","raw","organic|slate-tempered iron","organic","base|structure","alchemy|artifice|woodcraft|survival|tailoring","stable","light","Adds rigidity, memory, or alchemical calcium. It is selected for compression strength and stable behavior under repeated impact.","Refining a selected section can contribute rigidity, stored memory, or reactive mineral to one compatible recipe; in highland, it is selected for compression strength and stable behavior under repeated impact. For this treated structural bone, tier 3: supports repeated use during one contained operation; its drawback applies as soon as preparation breaks down.","For this treated structural bone, clan factors buy pieces with an unbroken maker mark; it adds rigidity, memory, or alchemical calcium. Inspect grain direction, old fractures, contamination, and whether treatment changed the expected density; consistent wear across every working surface; a slate-tempered iron match supports a 22-unit guide price.","Treated structural bone clue: its knot motif records a bearer, oath, or mountain passage. Check grain direction, old fractures, contamination, and whether treatment changed the expected density, then compare against stone-banner clans' slate-tempered iron standard; construction evidence outranks testimony when the two disagree.","Treated structural bone with hammered iron, slate inlay, and climbing-knot motifs.","Hidden decay or cross-grain cutting can make the finished recipe brittle at the point of greatest load; in highland, its density makes transport and fine shaping more demanding. At tier 3, this treated structural bone can compromise the current scene under pressure when stone-banner clans rely on it.","","material|raw-material|rare|tier-3|highland|stone-banner-clans|raw|ceremonial|organic|base|structure","14","1.55","22","20","ceremonial","Cairnforged Bone is rated rare and belongs to the treated structural bone class associated with stone-banner clans for highland use.","Treated structural bone with hammered iron, slate inlay, and climbing-knot motifs. Adds rigidity, memory, or alchemical calcium. It is selected for compression strength and stable behavior under repeated impact.","Refining a selected section can contribute rigidity, stored memory, or reactive mineral to one compatible recipe; in highland, it is selected for compression strength and stable behavior under repeated impact. For this treated structural bone, tier 3: supports repeated use during one contained operation; its drawback applies as soon as preparation breaks down.","22","0.5","premium-table-03"
"2.0.0","pitm-0141","itm-fam-041","Cairnforged Seal","quest","key-item","rare","3","highland","stone-banner clans","key-item","metal|slate-tempered iron","metal","none","","stable","tiny","Proves authority or secures a document or container. Its slate inlay records an oath, route, or bearer in a form meant to survive impact.","Applying it to the intended surface can authenticate authority or reveal whether a document or container was opened; in highland, its slate inlay records an oath, route, or bearer in a form meant to survive impact. For this authentication seal, tier 3: supports repeated use during one contained operation; failure remains possible once the scene changes.","For this authentication seal, clan factors buy pieces with an unbroken maker mark; it proves authority or secures a document or container. Inspect impression depth, material recipe, edge breaks, alignment, and residue from the original surface; consistent wear across every working surface; a slate-tempered iron match supports a 28-unit guide price.","Authentication seal clue: its knot motif records a bearer, oath, or mountain passage. Check impression depth, material recipe, edge breaks, alignment, and residue from the original surface, then compare against stone-banner clans' slate-tempered iron standard; corroborate the claimed route only when construction and handling marks align.","Authentication seal with hammered iron, slate inlay, and climbing-knot motifs.","A lifted or reheated seal can imitate continuity while hiding unauthorized access; in highland, damage to the inlay can turn a clear claim into a disputed one. Authentication seal consequence at tier 3: A fault can compromise the current scene under pressure when stone-banner clans rely on it.","","quest|key-item|rare|tier-3|highland|stone-banner-clans|ceremonial|metal","18","1.55","28","1","ceremonial","Cairnforged Seal is rated rare and belongs to the authentication seal class associated with stone-banner clans for highland use.","Authentication seal with hammered iron, slate inlay, and climbing-knot motifs. Proves authority or secures a document or container. Its slate inlay records an oath, route, or bearer in a form meant to survive impact.","Applying it to the intended surface can authenticate authority or reveal whether a document or container was opened; in highland, its slate inlay records an oath, route, or bearer in a form meant to survive impact. For this authentication seal, tier 3: supports repeated use during one contained operation; failure remains possible once the scene changes.","28","0.1","premium-table-03"
"2.0.0","pitm-0132","itm-fam-032","Cairnforged Orb","relic","arcane-focus","rare","4","highland","stone-banner clans","finished","crystal|slate-tempered iron","crystal","focus","enchanting|artifice","delicate","light","Stabilizes an observable magical resonance. Its slate inlay records an oath, route, or bearer in a form meant to survive impact.","Stabilizing it on a known reference lets observers compare one resonance, attunement, or supernatural disturbance; in highland, its slate inlay records an oath, route, or bearer in a form meant to survive impact. For this resonant focus orb, tier 4: connects several prepared steps into one operation; the regional constraint still governs the result.","For this resonant focus orb, clan factors buy pieces with an unbroken maker mark; it stabilizes an observable magical resonance. Inspect surface inclusions, mounting pressure, temperature change, internal clouding, and response to a control stimulus; rare materials supported by matching records; a slate-tempered iron match supports a 167-unit guide price.","Resonant focus orb clue: its knot motif records a bearer, oath, or mountain passage. Check surface inclusions, mounting pressure, temperature change, internal clouding, and response to a control stimulus, then compare against stone-banner clans' slate-tempered iron standard; construction evidence outranks testimony when the two disagree.","Resonant focus orb with hammered iron, slate inlay, and climbing-knot motifs.","A preexisting resonance can masquerade as a new reading and implicate the wrong source; in highland, damage to the inlay can turn a clear claim into a disputed one. Resonant focus orb consequence at tier 4: A fault can undo a group objective after resources are committed when stone-banner clans rely on it.","focus fragment|inscribed fitting","relic|arcane-focus|rare|tier-4|highland|stone-banner-clans|finished|ceremonial|crystal|focus","88","1.9","167","1","ceremonial","Cairnforged Orb is rated rare and belongs to the resonant focus orb class associated with stone-banner clans for highland use.","Resonant focus orb with hammered iron, slate inlay, and climbing-knot motifs. Stabilizes an observable magical resonance. Its slate inlay records an oath, route, or bearer in a form meant to survive impact.","Stabilizing it on a known reference lets observers compare one resonance, attunement, or supernatural disturbance; in highland, its slate inlay records an oath, route, or bearer in a form meant to survive impact. For this resonant focus orb, tier 4: connects several prepared steps into one operation; the regional constraint still governs the result.","167","0.5","premium-table-03"
"2.0.0","pitm-0117","itm-fam-017","Cairnforged Dagger","weapon","weapon","rare","4","highland","stone-banner clans","finished","metal|slate-tempered iron","metal","none","smithing","heavy","medium","Favors concealment and close control. Its reinforced alignment tolerates vibration, hard impacts, and steep travel.","Its draw and grip can be prepared for concealment, close control, or a deliberate show of threat; in highland, its reinforced alignment tolerates vibration, hard impacts, and steep travel. For this short thrusting weapon, tier 4: connects several prepared steps into one operation; visible use can still reveal the bearer.","For this short thrusting weapon, clan factors buy pieces with an unbroken maker mark; it favors concealment and close control. Inspect point alignment, edge damage, guard movement, sheath retention, and signs of a recently changed grip; rare materials supported by matching records; a slate-tempered iron match supports a 82-unit guide price.","Short thrusting weapon clue: its knot motif records a bearer, oath, or mountain passage. Check point alignment, edge damage, guard movement, sheath retention, and signs of a recently changed grip, then compare against stone-banner clans' slate-tempered iron standard; matching wear supports the account, while fresh work points to a planted lead.","Short thrusting weapon with hammered iron, slate inlay, and climbing-knot motifs.","A loose guard or unreliable sheath makes concealment more dangerous to the bearer than the target; in highland, the reinforcement adds weight that becomes costly on long climbs. Stone-banner clans face this short thrusting weapon's tier-4 risk, which can undo a group objective after resources are committed.","metal component|grip material","weapon|rare|tier-4|highland|stone-banner-clans|finished|ceremonial|metal","43","1.9","82","1","ceremonial","Cairnforged Dagger is rated rare and belongs to the short thrusting weapon class associated with stone-banner clans for highland use.","Short thrusting weapon with hammered iron, slate inlay, and climbing-knot motifs. Favors concealment and close control. Its reinforced alignment tolerates vibration, hard impacts, and steep travel.","Its draw and grip can be prepared for concealment, close control, or a deliberate show of threat; in highland, its reinforced alignment tolerates vibration, hard impacts, and steep travel. For this short thrusting weapon, tier 4: connects several prepared steps into one operation; visible use can still reveal the bearer.","82","1.5","premium-table-03"
"2.0.0","pitm-0108","itm-fam-008","Cairnforged Bottle","consumable","prepared-consumable","epic","5","highland","stone-banner clans","consumable","glass|slate-tempered iron","glass","none","alchemy|cooking","fragile","light","Stores a measured single-use liquid. A shock-resistant casing protects the measured dose during climbs and rough descents.","Its measured seal preserves one liquid dose and makes unauthorized opening easier to detect; in highland, a shock-resistant casing protects the measured dose during climbs and rough descents. For this sealed prepared draught, tier 5: can decide a major objective when every condition is met; careless use immediately exposes the operator.","For this sealed prepared draught, clan factors buy pieces with an unbroken maker mark; it stores a measured single-use liquid. Inspect seal continuity, glass clouding, stopper fit, fill level, and residue around the neck; a complete provenance record for a singular example; a slate-tempered iron match supports a 55-unit guide price.","Sealed prepared draught clue: its knot motif records a bearer, oath, or mountain passage. Check seal continuity, glass clouding, stopper fit, fill level, and residue around the neck, then compare against stone-banner clans' slate-tempered iron standard; use the oldest intact surface to decide whether the claim is genuine.","Sealed prepared draught with hammered iron, slate inlay, and climbing-knot motifs.","A hairline crack or reseated stopper can preserve the appearance of safety after the contents are compromised; in highland, the heavy casing is inconvenient when several doses are carried. Stone-banner clans face this sealed prepared draught's tier-5 risk, which may transfer control of the objective to a rival.","container","consumable|prepared-consumable|epic|tier-5|highland|stone-banner-clans|ceremonial|glass","22","2.5","55","6","ceremonial","Cairnforged Bottle is rated epic and belongs to the sealed prepared draught class associated with stone-banner clans for highland use.","Sealed prepared draught with hammered iron, slate inlay, and climbing-knot motifs. Stores a measured single-use liquid. A shock-resistant casing protects the measured dose during climbs and rough descents.","Its measured seal preserves one liquid dose and makes unauthorized opening easier to detect; in highland, a shock-resistant casing protects the measured dose during climbs and rough descents. For this sealed prepared draught, tier 5: can decide a major objective when every condition is met; careless use immediately exposes the operator.","55","0.5","premium-table-03"
"2.0.0","pitm-0118","itm-fam-018","Cairnforged Drum","trinket","personal-object","epic","5","highland","stone-banner clans","finished","hide|slate-tempered iron","hide","focus","enchanting","delicate","tiny","Coordinates groups through rhythm. Its slate inlay records an oath, route, or bearer in a form meant to survive impact.","A rehearsed rhythm can synchronize movement, work, warning, or ceremony across a group; in highland, its slate inlay records an oath, route, or bearer in a form meant to survive impact. For this portable signal drum, tier 5: can decide a major objective when every condition is met; careless use immediately exposes the operator.","For this portable signal drum, clan factors buy pieces with an unbroken maker mark; it coordinates groups through rhythm. Inspect head tension, frame cracks, lacing order, moisture, and whether the tone matches the intended cadence; a complete provenance record for a singular example; a slate-tempered iron match supports a 88-unit guide price.","Portable signal drum clue: its knot motif records a bearer, oath, or mountain passage. Check head tension, frame cracks, lacing order, moisture, and whether the tone matches the intended cadence, then compare against stone-banner clans' slate-tempered iron standard; corroborate the claimed route only when construction and handling marks align.","Portable signal drum with hammered iron, slate inlay, and climbing-knot motifs.","Uneven tension distorts the rhythm enough to split a coordinated response; in highland, damage to the inlay can turn a clear claim into a disputed one. This portable signal drum's tier-5 fault may transfer control of the objective to a rival; Stone-banner clans recognize its slate-tempered iron construction.","small fitting","trinket|personal-object|epic|tier-5|highland|stone-banner-clans|finished|ceremonial|hide|focus","35","2.5","88","3","ceremonial","Cairnforged Drum is rated epic and belongs to the portable signal drum class associated with stone-banner clans for highland use.","Portable signal drum with hammered iron, slate inlay, and climbing-knot motifs. Coordinates groups through rhythm. Its slate inlay records an oath, route, or bearer in a form meant to survive impact.","A rehearsed rhythm can synchronize movement, work, warning, or ceremony across a group; in highland, its slate inlay records an oath, route, or bearer in a form meant to survive impact. For this portable signal drum, tier 5: can decide a major objective when every condition is met; careless use immediately exposes the operator.","88","0.1","premium-table-03"
"2.0.0","pitm-0193","itm-fam-043","Miresealed Shell","material","raw-material","common","1","marsh","fenway traders","raw","organic|reed fiber","organic","structure|finish","artifice|survival|woodcraft|tailoring|smithing","stable","light","Provides lightweight armor or alchemical mineral. It is sealed or cured to resist rot while retaining its intended flexibility or reaction.","Cutting and orienting it correctly can provide lightweight structure, finish, armor, or mineral reagent; in marsh, it is sealed or cured to resist rot while retaining its intended flexibility or reaction. For this treated protective shell, tier 1: settles one ordinary field problem; active danger still needs a separate answer.","For this treated protective shell, fenway traders prize sealed pieces during flood months; it provides lightweight armor or alchemical mineral. Inspect layer separation, edge chalking, bore damage, contamination, and whether the natural curve matches the task; documented everyday use; a reed fiber match supports a 12-unit guide price.","Treated protective shell clue: its wax layers preserve route marks used by hidden causeway guides. Check layer separation, edge chalking, bore damage, contamination, and whether the natural curve matches the task, then compare against fenway traders' reed fiber standard; corroborate the claimed route only when construction and handling marks align.","Treated protective shell with waxed bindings, reed fiber, and dark waterproof resin.","A hidden delamination spreads rapidly once the shell is drilled, heated, or loaded; in marsh, a hidden puncture can contaminate the material before any surface change appears. Fenway traders face this treated protective shell's tier-1 risk, which usually gives a visible warning before unsafe use.","","material|raw-material|common|tier-1|marsh|fenway-traders|raw|strange|organic|structure|finish","12","1","12","20","strange","Miresealed Shell is rated common and belongs to the treated protective shell class associated with fenway traders for marsh use.","Treated protective shell with waxed bindings, reed fiber, and dark waterproof resin. Provides lightweight armor or alchemical mineral. It is sealed or cured to resist rot while retaining its intended flexibility or reaction.","Cutting and orienting it correctly can provide lightweight structure, finish, armor, or mineral reagent; in marsh, it is sealed or cured to resist rot while retaining its intended flexibility or reaction. For this treated protective shell, tier 1: settles one ordinary field problem; active danger still needs a separate answer.","12","0.5","premium-table-04"
"2.0.0","pitm-0153","itm-fam-003","Miresealed Band","wearable","wearable","common","1","marsh","fenway traders","finished","metal|reed fiber","metal","none","tailoring|smithing","working","light","Marks rank while reinforcing a joint or grip. Its reed-fiber layers drain quickly and keep mud away from closures and skin.","Cinching it before strain can reinforce one joint or make a rank signal visible during a demanding task; in marsh, its reed-fiber layers drain quickly and keep mud away from closures and skin. For this fitted wrist or arm band, tier 1: settles one ordinary field problem; active danger still needs a separate answer.","For this fitted wrist or arm band, fenway traders prize sealed pieces during flood months; it marks rank while reinforcing a joint or grip. Inspect fit, edge deformation, fastening tension, and wear around any rank mark; documented everyday use; a reed fiber match supports a 27-unit guide price.","Fitted wrist or arm band clue: its wax layers preserve route marks used by hidden causeway guides. Check fit, edge deformation, fastening tension, and wear around any rank mark, then compare against fenway traders' reed fiber standard; a mismatch suggests deliberate substitution; a match strengthens the origin claim.","Fitted wrist or arm band with waxed bindings, reed fiber, and dark waterproof resin.","An overtight fit restricts movement, while a loosened fastening defeats both support and identification; in marsh, torn reed panels lose their shape unless repaired while damp. This fitted wrist or arm band's tier-1 fault usually gives a visible warning before unsafe use; Fenway traders recognize its reed fiber construction.","fastener|fabric or hide","wearable|common|tier-1|marsh|fenway-traders|finished|strange|metal","27","1","27","1","strange","Miresealed Band is rated common and belongs to the fitted wrist or arm band class associated with fenway traders for marsh use.","Fitted wrist or arm band with waxed bindings, reed fiber, and dark waterproof resin. Marks rank while reinforcing a joint or grip. Its reed-fiber layers drain quickly and keep mud away from closures and skin.","Cinching it before strain can reinforce one joint or make a rank signal visible during a demanding task; in marsh, its reed-fiber layers drain quickly and keep mud away from closures and skin. For this fitted wrist or arm band, tier 1: settles one ordinary field problem; active danger still needs a separate answer.","27","0.5","premium-table-04"
"2.0.0","pitm-0169","itm-fam-019","Miresealed Flask","consumable","prepared-consumable","uncommon","2","marsh","fenway traders","consumable","glass|reed fiber","glass","none","alchemy|cooking","fragile","light","Protects a prepared consumable during travel. Its waterproof resin seal keeps the dose stable through humidity and brief submersion.","Its reinforced body protects one prepared dose until the bearer chooses a clear trigger and duration for use; in marsh, its waterproof resin seal keeps the dose stable through humidity and brief submersion. For this reinforced field draught, tier 2: turns one risky procedure into two deliberate options; failure remains possible once the scene changes.","For this reinforced field draught, fenway traders prize sealed pieces during flood months; it protects a prepared consumable during travel. Inspect cap lock, body dents, inner lining, dose separation, and residue around the drinking edge; field repairs consistent with its claimed route; a reed fiber match supports a 23-unit guide price.","Reinforced field draught clue: its wax layers preserve route marks used by hidden causeway guides. Check cap lock, body dents, inner lining, dose separation, and residue around the drinking edge, then compare against fenway traders' reed fiber standard; corroborate the claimed route only when construction and handling marks align.","Reinforced field draught with waxed bindings, reed fiber, and dark waterproof resin.","Impact can damage the lining without spilling, leaving a contaminated dose inside an intact shell; in marsh, breaking the seal commits the contents to immediate use. This reinforced field draught's tier-2 fault costs time, material, or discretion when inspection is skipped; Fenway traders recognize its reed fiber construction.","container","consumable|prepared-consumable|uncommon|tier-2|marsh|fenway-traders|strange|glass","19","1.2","23","6","strange","Miresealed Flask is rated uncommon and belongs to the reinforced field draught class associated with fenway traders for marsh use.","Reinforced field draught with waxed bindings, reed fiber, and dark waterproof resin. Protects a prepared consumable during travel. Its waterproof resin seal keeps the dose stable through humidity and brief submersion.","Its reinforced body protects one prepared dose until the bearer chooses a clear trigger and duration for use; in marsh, its waterproof resin seal keeps the dose stable through humidity and brief submersion. For this reinforced field draught, tier 2: turns one risky procedure into two deliberate options; failure remains possible once the scene changes.","23","0.5","premium-table-04"
